vegas_team,crowds_team,silver_team_id,silver_team,benz_team,massey_team,logo_url
UConn Huskies,UConn,41,Connecticut,UConn,Connecticut,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/192px-Connecticut_Huskies_logo.svg.png
Houston Cougars,Houston,248,Houston,Houston,Houston,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/252px-Houston_Cougars_primary_logo.svg.png
Purdue Boilermakers,Purdue,2509,Purdue,Purdue,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/320px-Purdue_Boilermakers_logo.svg.png
Arizona Wildcats,Arizona,12,Arizona,Arizona,Arizona,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/200px-Arizona_Wildcats_logo.svg.png
Tennessee Volunteers,Tennessee,2633,Tennessee,Tennessee,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png
North Carolina Tar Heels,North Carolina,153,North Carolina,North Carolina,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/304px-North_Carolina_Tar_Heels_logo.svg.png
Duke Blue Devils,Duke,150,Duke,Duke,Duke,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/200px-Duke_Athletics_logo.svg.png
Creighton Bluejays,Creighton,156,Creighton,Creighton,Creighton,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/238px-Creighton_Bluejays_logo.svg.png
Marquette Golden Eagles,Marquette,269,Marquette,Marquette,Marquette,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Marquette_Golden_Eagles_logo.svg/320px-Marquette_Golden_Eagles_logo.svg.png
Auburn Tigers,Auburn,2,Auburn,Auburn,Auburn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/200px-Auburn_Tigers_logo.svg.png
Illinois Fighting Illini,Illinois,356,Illinois,Illinois,Illinois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/166px-Illinois_Fighting_Illini_logo.svg.png
Alabama Crimson Tide,Alabama,333,Alabama,Alabama,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/200px-Alabama_Crimson_Tide_logo.svg.png
Iowa State Cyclones,Iowa State,66,Iowa State,Iowa St.,Iowa St,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/320px-Iowa_State_Cyclones_logo.svg.png
Kansas Jayhawks,Kansas,2305,Kansas,Kansas,Kansas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Kansas_Jayhawks_1946_logo.svg/1920px-Kansas_Jayhawks_1946_logo.svg.png
Baylor Bears,Baylor,239,Baylor,Baylor,Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/2018_Baylor_Athletics_Logo.png/208px-2018_Baylor_Athletics_Logo.png
Kentucky Wildcats,Kentucky,96,Kentucky,Kentucky,Kentucky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/293px-Kentucky_Wildcats_logo.svg.png
BYU Cougars,BYU,252,Brigham Young,BYU,BYU,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/BYU_Cougars_logo.svg/320px-BYU_Cougars_logo.svg.png
Florida Gators,Florida,57,Florida,Florida,Florida,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/320px-Florida_Gators_gator_logo.svg.png
Michigan St Spartans,Michigan St,127,Michigan State,Michigan St.,Michigan St,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/208px-Michigan_State_Athletics_logo.svg.png
San Diego St Aztecs,San Diego St,21,San Diego State,San Diego St.,San Diego St,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/320px-San_Diego_State_Aztecs_logo.svg.png
Gonzaga Bulldogs,Gonzaga,2250,Gonzaga,Gonzaga,Gonzaga,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Gonzaga_Bulldogs_logo.svg/301px-Gonzaga_Bulldogs_logo.svg.png
Saint Mary's Gaels,Saint Mary's,2608,Saint Mary's,Saint Mary's (CA),St Mary's CA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/300px-Saint_Mary%27s_College_Gaels_logo.svg.png
Washington St Cougars,Washington St,265,Washington State,Washington St.,Washington St,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Washington_State_Cougars_logo.svg/252px-Washington_State_Cougars_logo.svg.png
South Carolina Gamecocks,South Carolina,2579,South Carolina,South Carolina,South Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/219px-South_Carolina_Gamecocks_logo.svg.png
